index,segment_id,barcode_length
0,983,10
1,591,6
2,1488,6
3,790,7
4,1511,3
5,1536,7
6,825,5
7,1123,6
8,134,3
9,108,6
10,724,7
11,183,4
12,654,1
13,727,5
14,120,4
15,1557,6
16,819,7
17,961,10
18,0,5
19,1492,7
20,1402,3
21,1478,6
22,1493,5
23,0,7
24,1336,1
25,1186,1
26,1079,3
27,141,4
28,1076,3
29,960,7
30,982,5
31,1530,9
32,1578,4
33,1520,7
34,127,4
35,0,5
36,697,5
37,1219,4
38,0,3
39,0,6
40,191,4
41,0,1
42,0,3
43,1494,4
44,1246,5
45,50,4
46,1559,4
47,0,2
48,808,4
49,0,3
50,476,6
51,0,7
52,1054,2
53,0,2
54,1514,2
55,0,2
56,0,5
57,169,7
58,0,2
59,0,2
60,0,3
61,0,1
62,1543,3
63,5,2
64,911,8
65,0,4
66,0,2
67,0,1
68,0,3
69,0,2
70,0,2
71,0,1
72,0,2
73,0,1
74,0,3
75,0,4
76,0,1
77,0,1
78,0,1
79,910,5
80,0,1
81,0,2
82,0,4
83,812,5
84,0,4
85,0,1
86,98,2
87,204,4
88,247,6
89,0,1
90,0,3
91,702,5
92,704,3
93,0,10
94,0,4
95,1498,2
96,0,2
97,0,3
98,0,2
99,1540,4
100,956,4
101,0,1
102,0,4
103,1070,2
104,0,1
105,764,2
106,0,2
107,0,8
108,1569,6
109,1504,5
110,0,3
111,1048,3
112,0,7
113,1513,4
114,950,1
115,0,2
116,1251,5
117,0,15
118,0,1
119,665,11
120,0,5
121,0,4
122,0,2
123,1380,7
124,1471,2
125,0,2
126,0,3
127,0,9
128,0,3
129,0,1
130,0,3
131,1531,3
132,0,3
133,1074,7
134,934,6
135,0,2
136,0,2
137,0,0
138,0,1
139,0,2
140,0,3
141,421,4
142,0,2
143,1099,7
144,0,10
145,0,1
146,0,4
